Số báo danh,Toán,Văn,Ngoại Ngữ,Lý,Hoá,Sinh,Sử,Địa lý,GDCD
01000395,-1,5.5,-1,-1,-1,-1,6.25,7.25,-1
01000396,-1,3.75,-1,-1,-1,-1,6,6,-1
01000397,-1,-1,-1,-1,-1,-1,-1,-1,-1
01000398,2.6,4,-1,-1,-1,-1,4.5,4.25,-1
01000399,-1,4.25,-1,-1,-1,-1,5.5,6.75,-1
01000400,-1,6,-1,-1,-1,-1,7.5,7.5,-1
01000401,-1,4,-1,-1,-1,-1,6,6.25,-1
01000402,5,6.25,5,-1,-1,-1,-1,-1,-1
01000403,-1,3.75,-1,-1,-1,-1,2.75,5.5,-1
01000404,8.2,6,9.25,-1,-1,-1,7.25,8.6,8.25
01000405,-1,6,-1,-1,-1,-1,7.25,8.25,-1
01000406,-1,8.25,8.5,-1,-1,-1,8.5,7.6,8.75
01000407,3.4,7,-1,-1,-1,-1,5,6,-1
